idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P7250	P7260	P7280	P7280s1	P7310	P7320	P7350	P7350s1	P7360	P7390	P7390s1	P7420	P7420s1	P7420s2	P7420s3	P7420s4	P7420s5	P7420s6	P7420s7	P7420s8	P7420s7a1	P7422	P7422s1	P9460	Oficio1	Oficio2	Rama2d_d	Dsi	Dscy	Rama4d_d	Mes	Dpto	empleado
3752732141	3752732	1	4	1	70	52	26	40	1		2	26	1		2	1										1		2		2	40	45	52	1	2	5244	6	52	0
3752740111	3752740	1	1	1	70	52	52	20	1		2	104	1		3	2										1		2		2	53	55	55	1	2	5521	6	52	0
3752740121	3752740	1	2	1	70	52	17	40	1		2	17	1		7	1										1		2		2	32	39	51	1	2	5137	6	52	0
3752745121	3752745	1	2	1	70	52	52	40	1		2	98	1		9	2										1		2		2	33	44	65	1	2	6512	6	52	0
3752747121	3752747	1	2	1	70	52	98	70	4		2	104	4		1	1										1		2		2	14	38	64	1	2	6422	6	52	0
3752751131	3752751	1	3	1	70	52	8	48	1		2	52	1		7	4										1		2		2	59	59	15	1	1	1551	6	52	0
3752753131	3752753	1	3	1	70	52	156	24	1		1							.									.				54			1	2		6	52	0
3752800222	3752800	2	2	2	70	68	8	48	1		2	16	1		2	2										1		2		2	53	53	55	1	1	5521	6	68	0
3752802121	3752802	1	2	1	70	68	8	40	1		2	52	1		3	1										1		2		2	59	60	1	1	1	121	6	68	0
3752806131	3752806	1	3	1	70	68	12	50	4		2	16	1		9	3										1		2		2	3	3	11	1	1	1120	6	68	0
3752809111	3752809	1	1	1	70	68	52	48	1		2	78	1		4	2										1		2		2	84	84	51	1	2	5170	6	68	0
3752810111	3752810	1	1	1	70	68	24	48	1		2	24	4		9	3					1							2		2	2	59	11	1	2	1120	6	68	0
3752815121	3752815	1	2	1	70	68	24	48	1		2	24	4		1	2										1		2		2	45	41	52	1	2	5211	6	68	0
3752830121	3752830	1	2	1	70	8	4	48	3		2	8	3		1	1										1		2		2	54	54	95	1	1	9500	6	8	0
3752836121	3752836	1	2	1	70	66	1	48	1		2	12	1		3	1										1		2		2	95	95	45	1	1	4521	6	66	0
3752837131	3752837	1	3	1	70	66	2	48	1		2	12	1		2	1										1		2		2	99	21	64	1	1	6421	6	66	0
3752839111	3752839	1	1	1	70	66	48	30	1		2	336	4		7	1										1		2		2	53	79	18	1	2	1810	6	66	0
3752840121	3752840	1	2	1	70	66	2	20	1		2	12	1		4	1										1		2		2	53	53	55	1	1	5521	6	66	0
3752840141	3752840	1	4	1	70	66	30	48	1		2	30	1		6	1										1		2		2	37	37	52	1	2	5231	6	66	0
3752843111	3752843	1	1	1	70	66	12	48	1		2	15	1		6	2										1		2		2	33	33	52	1	1	5244	6	66	0
3752844131	3752844	1	3	1	70	66	48	48	1		1							.									.				16			1	2		6	66	0
3752854111	3752854	1	1	1	70	66	1	48	1		2	1	1		9	4										1		1	644350	2	33	33	52	1	1	5211	6	66	0
3752855111	3752855	1	1	1	70	66	8	48	4		2	8	3		1	1										1		2		2	55	54	95	1	1	9500	6	66	0
3752856111	3752856	1	1	1	70	66	4	48	1		2	4	1		3	3										1		1	644350	2	32	39	55	1	1	5511	6	66	0
3752858131	3752858	1	3	1	70	66	1	40	1		2	33	1		9	1										1		2		2	53	53	55	1	1	5521	6	66	0
3752859141	3752859	1	4	1	70	66	1	24	1		1							.									.				45			1	1		6	66	0
3752860141	3752860	1	4	1	70	66	48	48	1		2	48	1		4	1										1		2		2	33	53	55	1	2	5522	6	66	0
3752861111	3752861	1	1	1	70	66	16	40	1		2	16	1		9	1										1		2		1	58	58	85	1	2	8511	6	66	0
3752865111	3752865	1	1	1	70	66	1	72	1		2	1	1		2	2										1		1	360000	2	99	99	55	1	1	5521	6	66	0
3752874121	3752874	1	2	1	70	50	25	48	1		2	25	1		4	4										1		2		2	53	58	52	1	2	5233	6	50	0
