idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	empleado
3751712111	3751712	1	1	1	60	11	1	2	2	12	1	1	2	1	1	4		1		644350	2			2		2		2		2		74000	25000		2	2		1	1		2	2	2			2				614000	2	2	1	2		.						.	12			2	2				2						11	48		.	48			8	5		1	1	1	10	1	1									1	1	24	1		2					0	1		1				1	6	2	1	2														1	1	1	2	2		1	1	39	52	1	1	5249			644350	6	11	1
3751712121	3751712	1	2	1	60	11	1	2	1		1	1	2	1	1	300		3		1200000	2			2		2		2		2		74000	55000		2	2		1	1		2	2	2			2	580000			1500000	1	2	1	2		.						.	12			2	2				2						11	48		.	48			9	7		1	1	1	15	1	1		1							1	2				1	4	4		100000		1		1	1	2	11	2				2														1	1	1	2	2		1	1	33	92	1	1	9242			1300000	6	11	1
3751713121	3751713	1	2	1	60	11	2									24																																							6			220000	1		3		12												3		11	45		.	45			1	1		2				1								1		2	2				2						2		3				2				2														1	1	1	2	3		1	1	54	85	1	4	8532			220000	6	11	1
3751714111	3751714	1	1	1	60	11	2									430																																							6			400000	1		3		12												3		11	24	1		24			1	2		2				1								1		2	1	36	1		2					0	2		4				1	24	1	1	2														1	2	2	2	8		2	1	93	45	1	4	4552			400000	6	11	1
3751715111	3751715	1	1	1	60	11	1	2	1		2	1	2	1	1	7		3		644350	2			2		2		2		2		74000	52000		2	2		1	1		2	2	1	800000	2	2				100000	2	2	1	2		.						.	11	2		1	2				2						11	60		.	60			9	5		1	1	1	8	1	1									1	1	96	1		2					1	1		1				1	6	1	1	1	1	1	1	2	2	1	1	1	1	2		1	1	2	2	2	1	8		2	2	85	64	1	1	6421	7491	74	644350	6	11	1
3751716111	3751716	1	1	1	60	11	2									74																																							6			900000	1		3		12												3		11	72		.	72			1	4		2				1								1		1	1	140	1		2					6	2		3				2				2														1	2	1	2	3		1	1	98	60	1	4	6031			900000	6	11	1
3751716121	3751716	1	2	1	60	11	1	2	2	12	1	1	2	1	1	36		1		900000	2			1	72000	2		2		2		74000	72000		2	2		1	1		2	2	1	600000	2	2				850000	2	2	1	2		.						.	12			2	2				2						11	60		.	60			9	7		1	1	1	8	1	1									1	1	18	1		2					1	1		1				2				2														1	1	2	2	2		1	1	80	19	1	1	1929			972000	6	11	1
3751716131	3751716	1	3	1	60	11	2									13																																							7		1	800000	1		3		12											2015	1	1	11	84		.	84			2	7		2				1			1							2	2				1	16	4		80000		2		4	2	7	11	2				2														1	1	2	2	3		1	2	19	74	1	5	7499			880000	6	11	1
3751716141	3751716	1	4	1	60	11	1	2	2	12	1	2	2	1	1	14		6		644350	2			2		2		2		2		74000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						11	48		.	48			8	7		1	1	1	3	1	1		1							1	1	15	1		2					3	1		1				2				2														2	1	2	2	3		1	2	33	66	1	1	6601			644350	6	11	1
3751717121	3751717	1	2	1	60	11	1	2	1		1	1	2	1	1	12		1		644350	2			2		2		2		2		74000				2		1	2		2	2	2			2				614000	2	2	1	2		.						.	12			2	2				2						11	48		.	48			9	7		1	2	1	20	1			1							1	1	2	1		2					12	1		1				2				2														1	1	1	2	8		1	1	97	15	1	1	1551			644350	6	11	1
3751717141	3751717	1	4	1	60	11	1	2	1		1	1	2	1	1	72		1		644350	1	100000	2	2		2		2		2		74000				2		1	2		2	2	2			2				610000	2	2	1	2		.						.	12			2	2				2						11	84		.	84			2	7		1	1	1	4	1	1									1	1	9	1		2					7	1		1				2				2														1	1	1	2	8		1	1	53	55	1	1	5522			644350	6	11	1
3751717151	3751717	1	5	1	60	11	1	1			1	1	2	2	2	122		1		644350	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						11	48		.	48			7	6		2				1								1		2	2				2						2		2				2				2														1	1	1	2	8		1	1	45	51	1	1	5155			644350	6	11	1
3751718111	3751718	1	1	1	60	11	1	2	2	2	2	2	2	1	2	1		5		1000000	2			2		2		2		2		74000				2		1	2		2	2	2			2					2	2	2	1									1	1	2	1	2				2						11	48		.	50			9	7		1	1	1	2	1	1									1	1	17	4		2					12	1		1				2				1	1	1	1	1	2	2	2	2	2	2		1	1	1	2	1	2	8		2	2	17	75	1	1	7530	7491	74	1000000	6	11	1
3751718121	3751718	1	2	1	60	11	1	2	1		1	1	2	1	1	12		6		1000000	2			2		2		2		2		200000				2		1	2		2	2	2			2	3000000			800000	1	2	1	2		.						.	12			2	2				2						11	55		.	55			9	7		1	1	1	4	1	1									1	2				2						1		1				2				2														1	2	2	2	1		1	2	6	24	1	1	2423			1000000	6	11	1
3751718131	3751718	1	3	1	60	11	1	2	1		1	1	2	2	1	6		1		600000	2			1	320000	2		2		2								2	2		2	2	2			2	130000				1	2	2	2		.						.	12			2	2				2						11	32	2		32			1	2		2				1								1		2	1	36	4		2					0	2		3				2				2														1	1	1	2	3		1	2	54	95	1	3	9500			920000	6	11	1
3751720111	3751720	1	1	1	60	11	1	1			1	1	2	2	2	36		1		1000000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						11	48		.	48			4	7		2				1								1		2	1	24	1		2					0	2		2				2				2														1	1	1	2	5		1	1	80	19	1	1	1921			1000000	6	11	1
3751721131	3751721	1	3	1	60	11	2									60																																							6			1600000	1		3		12												3		11	60		.	60			2	2		2				1			1							2	1	3	1		2					1	2		2				1	10	2	1	2														1	1	1	2	2		1	1	85	45	1	5	4542			1600000	6	11	1
3751722111	3751722	1	1	1	60	11	1	2	2	12	1	1	2	1	1	28		1		644350	1	60000	2	2		2		2		2		74000	75000		2	2		1	1		2	2	2			2				600000	2	2	1	1									12		22	2	2				2						11	48		.	60			5	7		1	1	1	3	1	1									1	1	122	4		2					12	1		1				2				1	1	2	1	2	2	2	2	2	2	2		2	1	1	1	1	2	8		1	1	39	60	1	1	6042			644350	6	11	1
3751722121	3751722	1	2	1	60	11	1	2	1		2	1	2	1	1	11		3		644350	2			2		2		2		2		74000	75000		2	2		1	1		2	2	2			2				614000	2	2	1	2		.						.	12	1		1	2				2						11	48		.	48			9	7		1	1	1	6	1	1									1	1	8	4		1	1	4		200000	1	1		1	1	2	11	1	42	1	1	1	1	2	1	2	2	2	2	2	2	2		1	1	2	2	1	2	8		1	1	59	85	1	1	8511	7491	74	844350	6	11	1
3751723111	3751723	1	1	1	60	11	1	2	1		2	1	2	1	2	30		2		644350	2			2		2		2		2		74000				2	2	1	2	60000	2	1	2			2				640000	2	2	1	2		.						.	12	1		2	2				2						11	48		.	48			9	7		1	1	1	2	1	1									1	1	30	4		2					0	1		1				2				2														1	1	1	2	2		1	1	45	51	1	1	5125	7491	74	644350	6	11	1
3751724111	3751724	1	1	1	60	11	1	2	1		1	1	2	1	1	9		1			2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						11	48		.	48			5	7		1	1	1	10	1								1		1	1	9	1		2					0	1		1				2				2														1	1	1	2	8		1	2	12	74	1	1	7411				6	11	1
3751725111	3751725	1	1	1	60	11	2									220																																							7		1	1000000	1		3		12												2	2	11	56		.	0	7	VIAJANDO	2	7		2				1								1		2	2				2						2		3				2				2														1	1	1	2	8		1	2	57	93	1	5	9302			1000000	6	11	1
3751725121	3751725	1	2	1	60	11	2									7																																							7		1	3000000	1		3		12											2015	2	1	11	60		.	60			1	7		2				1			1							2	1	12	1		2					0	2		4				2				2														1	1	1	2	2		1	1	41	52	1	4	5231			3000000	6	11	1
3751726111	3751726	1	1	1	60	11	1	2	1		1	1	2	2	2	36		1		644350	2			2		2		2		2		74000	25000		2	2		1	1		2	2	2			2				610000	2	2	1	2		.						.	12			2	2				2						11	56		.	56			4	7		1	1	1	3	1	1		1							1	1	84	1		2					12	1		1				2				2														1	2	2	2	2		1	1	33	51	1	1	5141			644350	6	11	1
3751727111	3751727	1	1	1	60	11	2									200																																							6			600000	1		3		12												2		11	60		.	60			1	6		2				1								1		2	2				2						2		2				2				2														1	2	1	2	8		2	1	45	52	1	4	5262			600000	6	11	1
3751728121	3751728	1	2	1	60	11	1	2	1		1	1	2	1	1	14		1		644350	2			2		2		2		2		74000				2		1	2		2	2	2			2				616000	2	2	1	2		.						.	12			2	2				2						11	48		.	48			9	7		1	1	1	2	1	1									1	1	84	1		2					36	1		1				2				2														1	1	1	2	8		1	1	45	50	1	1	5051			644350	6	11	1
3751729111	3751729	1	1	1	60	11	1	1			1	1	2	1	1	24		1		644350	2			2		2		2		2		74000	50000		2	2		1	1		2	2	2			2				614000	2	2	1	2		.						.	12			2	2				2						11	48		.	48			6	4		1	1	1	15	1	1									1	2				2						1		1				2				2														1	1	1	2	1		1	1	37	22	1	1	2231			644350	6	11	1
3751729121	3751729	1	2	1	60	11	1	2	1		1	1	2	1	1	48		1		644350	2			2		2		2		2		74000	50000		2	2		1	1		2	2	2			2				614000	2	2	1	2		.						.	12			2	2				2						11	48		.	48			4	7		1	1	1	4	1	1									1	1	36	1		2					4	1		1				2				2														1	1	1	2	1		1	1	32	52	1	1	5211			644350	6	11	1
3751735111	3751735	1	1	1	60	11	2									360																																							6			800000	1		3		12												3		11	50		.	50			1	2		2				1			1							2	2				2						2		4				2				2														1	1	1	2	2		1	1	93	45	1	4	4552			800000	6	11	1
3751735121	3751735	1	2	1	60	11	1	1			1	1	2	2	2	18		1		130000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						11	6	2		6			1	2		2				1								1		2	2				2						2		5				1	25	1	1	1	1	1	1	2	2	2	2	2	2	2		1	1	1	1	1	2	3		1	1	54	95	1	3	9500			130000	6	11	1
3751736111	3751736	1	1	1	60	11	2									350																																							6			200000	1		3		12												2		11	45		.	30	6		1	6		2				1								1		2	2				2						2		2				2				2														1	1	1	2	3		1	1	84	50	1	4	5020			200000	6	11	1
3751736121	3751736	1	2	1	60	11	2									122																																							7		1	1200000	1		3		12											2015	2	1	11	94		.	94			3	7		2				1			1							2	2				2						2		4				2				2														1	1	1	2	2		1	1	51	55	1	5	5521			1200000	6	11	1
3751736131	3751736	1	3	1	60	11	1	1			1	2	2	2	2	9		2		700000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						11	60		.	60			3	7		2				1								1		2	1	8	1		2					0	2		4				2				1	1	1	1	2	2	2	2	2	2	2		2	1	1	2	2	2	8		2	2	97	18	1	1	1810			700000	6	11	1
3751736141	3751736	1	4	1	60	11	1	2	1		1	1	2	1	1	48		1		750000	2			2		2		2		2		74000	25000		2	2		1	1		2	2	2			2				700000	2	2	1	2		.						.	12			2	2				2						11	66		.	66			4	7		1	1	1	4	1	1									1	1	8	1		2					1	1		1				2				2														1	1	1	2	5		1	1	97	18	1	1	1810			750000	6	11	1
3751736151	3751736	1	5	1	60	11	1	2	1		2	2	2	1	1	4		1		900000	2			2		2		2		2		74000				2		1	2		2	2	2			2				400000	2	2	1	2		.						.	10	1		2	2				2						25	48		.	48			9	7		1	1	1	2	1			1							1	1	5	1		2					2	1		1				2				1	1	1	1	1	2	2	2	1	1	2		2	1	2	1	2	2	1		1	2	85	64	1	1	6424	7491	74	900000	6	11	1
3751736161	3751736	1	6	1	60	11	1	2	2	12	1	1	2	2	2	4		6		644350	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	4			2	2				2						11	45		.	45			8	7		2				1			1							1	2				1	30	1		140000		2		1	2	7	11	2				1	1	1	1	1	2	2	2	2	2	2		2	2	1	2	1	2	3		2	1	3	51	1	1	5134			784350	6	11	1
3751736171	3751736	1	7	1	60	11	2									24																																								.						.	12														11	30	2		30			2	7		2				1			1							2	2				2						2		2				2				2														1	1	1	2	3		1	1	53	55	1	6	5521				6	11	1
3751737111	3751737	1	1	1	60	11	2									240																																							7		1	600000	1		3		12												2	2	11	50		.	50			1	7		2				1								1		2	2				2						2		1				2				2														1	1	1	2	2		1	1	41	52	1	4	5211			600000	6	11	1
3751737121	3751737	1	2	1	60	11	2									320																																							7		2	644350	1		3		12												2		11	24	2		24			1	7		2				1			1							2	1	120	1		2					0	2		4				2				2														1	1	1	2	2		1	1	84	50	1	4	5020			644350	6	11	1
3751737131	3751737	1	3	1	60	11	2									84																																							6			16000	1		1		12												3		11	2	1		48			1	2		2				1								1		2	2				2						2		2				1	48	1	1	1	1	1	1	2	1	2	2	2	2	2		1	2	2	2	2	2	8		2	1	13	80	1	4	8060			16000	6	11	1
3751740121	3751740	1	2	1	60	11	1	2	2	4	1	2	2	2	2	1																																							1			1600000	1		3		1												3		11	68		.	68			9	7		1	2	2	10	1	1									1	1	36	1		2					84	2		1				2				2														1	2	2	2	8		2	1	39	65	1	4	6593			1600000	6	11	1
3751741111	3751741	1	1	1	60	11	2									420																																							6			1200000	1		3		12												3		11	48		.	48			1	7		1	1	1	0	1								1		1	2				2						2		1				1	5	2	1	1	1	1	1	2	2	2	2	2	2	2		2	1	1	1	1	2	2		1	1	84	51	1	4	5170			1200000	6	11	1
3751741121	3751741	1	2	1	60	11	2									122																																							6			2000000	1		3		12												3		11	74		.	74			1	1		2				1								1		2	2				2						2		3				2				1	1	1	1	1	2	2	2	1	2	2		2	1	2	2	2	2	3		1	1	79	18	1	4	1810			2000000	6	11	1
3751741131	3751741	1	3	1	60	11	2									24																																							1			1800000	1		3		12												3		11	48		.	48			4	7		1	1	2	4	1	1		1							1	1	18	1		2					0	2		1				2				1	1	1	1	2	2	2	2	2	2	2		2	1	1	2	1	2	2		1	1	6	85	1	4	8513			1800000	6	11	1
3751889111	3751889	1	1	1	60	68	1	2	1		1	1	2	1	1	84		1		1600000	2			2		2		2		2		74000				1		1	2		2	2	2			2				1200000	2	2	1	2		.						.	12			2	2				2						68	50		.	50			9	9		1	1	1	10	1	1									1	1	24	1		2					0	1		1				2				2														1	1	1	2	8		1	1	95	70	1	1	7010			1600000	6	68	1
3751889121	3751889	1	2	1	60	68	1	2	1		1	1	2	1	1	26		1		717000	2			2		2		2		2		74000				1		1	2		2	2	2			2				616000	2	2	1	2		.						.	12			2	2				2						68	48		.	48			7	7		1	1	1	3	1	1									1	1	108	4		2					0	1		1				2				2														1	1	1	2	3		1	1	45	36	1	1	3611			717000	6	68	1
3751890111	3751890	1	1	1	60	68	2									180																																							7		1		1		3		12											2015	2	1	68	60		.	60			1	7		9														2	1	240	2		2					0	2		1				2				2														1	1	1	2	10	DE LA PENSION	1	1	41	52	1	4	5241				6	68	1
3751892111	3751892	1	1	1	60	68	1	2	2	12	2	1	2	1	1	19		3		900000	2			2		2		2		2		74000				1		1	2		2	2	2			2				900000	2	2	1	2		.						.	12	4		1	2		SEGURIDAD RECORD DE COLOMBIA		2						68	60		.	60			9	7		1	1	1	12	1	1									1	1	24	1		2					0	1		1				2				1	1	1	1	2	2	2	2	2	2	2		1	1	1	1	1	2	8		1	1	58	64	1	1	6421	7492	74	900000	6	68	1
3751892121	3751892	1	2	1	60	68	1	1			1	1	2	2	2	1																																							3			150000	1		3		1												3		68	40		.	40			1	1		2				1								1		2	1	6	1		2					12	2		3				2				1	1	1	1	2	2	2	2	2	2	2		1	1	2	2	1	2	3		2	1	75	17	1	4	1720			150000	6	68	1
3751905111	3751905	1	1	1	60	68	1	2	2	12	2	1	2	1	1	4		2		1120000	2			2		2		2		2		74000				1		1	2		2	2	2			2				450000	2	2	1	1									12	4	12	2	2		SEVICOL LTDA		2						68	48		.	60			4	7		1	1	1	3	1	1									1	1	4	6		2					0	1		1				2				1	1	1	1	1	2	2	2	1	2	2		2	1	1	1	1	2	8		2	1	58	70	1	1	7020	7492	74	1120000	6	68	1
3751908111	3751908	1	1	1	60	68	1	2	1		1	1	1	1	1	180		2		2800000	2			2		2		2		2			380000		1			2	1		2	2	2			1		600000	2500000	600000	2	1	1	2		.						.	12			2	2				2						68	60		.	60			9	7		1	3	1	15	1	1									1	1	12	2		2					0	1		1				2				2														1	1	1	2	5		1	1	58	75	1	2	7522			2800000	6	68	1
3751908121	3751908	1	2	1	60	68	2									60																																							6			600000	1		3		12												3		68	25	2		25			1	1		2				1								1		2	1	60	4		2					4	2		3				2				2														1	1	1	2	5		1	1	75	17	1	4	1741			600000	6	68	1
