idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	P6016	P6020	P6030	P6030s1	P6030s3	P6040	P6050	P6070	P6090	P6140	P6150	P6100	P6110	P6120	P6125	P6160	P6170	P6175	P6210	P6210s1	P6220	Area	Esc	Mes	Dpto
3748058111	3748058	1	1	1	10	1	1	1	11	1980	34	1	2	1			1	1	98	2	1	2		6	2	2	76	13	6	76
3748058121	3748058	1	2	1	10	2	2	1	3	1980	35	2	2	1			1	5		2	1	2		6	1	2	76	12	6	76
3748058131	3748058	1	3	1	10	2	2	1	4	2001	14	3	6	1			1	5		2	1	1	2	4	8		76	8	6	76
3748059111	3748059	1	1	1	10	1	2	1	11	1952	62	1	4	1			1	2	99	2	1	2		6	5	4	76	16	6	76
3748060111	3748060	1	1	1	10	1	2	1	1	1948	67	1	5	1			1	2	367300	2	1	2		4	6		76	6	6	76
3748060121	3748060	1	2	1	10	2	1	1	12	1981	33	3	2	1			1	1	98	2	1	2		6	2	3	76	13	6	76
3748060131	3748060	1	3	1	10	3	2	1	12	1983	31	5	2	1			1	1	98	2	1	2		5	11	2	76	11	6	76
3748060141	3748060	1	4	1	10	1	2	1	7	2010	4	4		1			1	5		2	2	1	2	2	0		76	0	6	76
3748061111	3748061	1	1	1	10	1	2	1	11	1975	39	1	4	1			1	1	98	2	1	2		5	11	2	76	11	6	76
3748061121	3748061	1	2	1	10	2	2	1	2	1996	19	3	6	1			1	5		2	1	2		5	11	2	76	11	6	76
3748062111	3748062	1	1	1	10	1	1	1	3	1976	39	1	4	2	1	12				2	1	2		5	11	2	76	11	6	76
3748062121	3748062	1	2	1	10	2	2	1	1	1952	63	5	5	1			2	2	98	2	2	2		3	1		76	1	6	76
3748063111	3748063	1	1	1	10	1	1	1	9	1966	48	1	6	1			1	3	80450	2	1	2		6	5	4	76	16	6	76
3748063121	3748063	1	2	1	10	2	1	1	10	1969	45	5	6	1			1	1	80450	2	1	2		6	5	4	76	16	6	76
3748064111	3748064	1	1	1	10	1	2	1	3	1934	81	1	6	1			1	2	98	2	1	2		5	11	2	76	11	6	76
3748065111	3748065	1	1	1	10	1	1	1	11	1963	51	1	2	1			1	1	35200	2	1	2		5	11	2	73	11	6	73
3748065121	3748065	1	2	1	10	2	2	1	11	1964	50	2	2	1			1	5		2	1	2		3	5		73	5	6	73
3748065131	3748065	1	3	1	10	1	2	1	2	2000	15	3	6	1			1	5		2	1	1	1	4	9		73	9	6	73
3748066111	3748066	1	1	1	10	2	1	1	2	1954	61	1	2	1			1	2	90000	2	1	2		3	5		73	5	6	73
3748066121	3748066	1	2	1	10	2	2	1	10	1954	60	2	2	1			1	5		2	1	2		3	5		73	5	6	73
3748066131	3748066	1	3	1	10	2	2	1	2	1985	30	3	4	1			3			2	1	2		4	9		73	9	6	73
3748066141	3748066	1	4	1	10	2	2	1	1	2003	12	4	6	1			1	5		2	1	1	1	4	6		73	6	6	73
3748066151	3748066	1	5	1	10	2	1	1	2	2005	10	4	6	1			3			2	1	1	1	3	4		73	4	6	73
3748067111	3748067	1	1	1	10	1	1	1	9	1990	24	1	2	1			1	1	30000	2	1	1	1	6	5	3	73	16	6	73
3748067121	3748067	1	2	1	10	2	2	1	1	1992	23	2	2	1			1	5		2	1	2		5	11	2	73	11	6	73
3748068111	3748068	1	1	1	10	1	1	1	6	1981	33	1	2	2	1	2				1	1	2		5	10	1	73	10	6	73
3748068121	3748068	1	2	1	10	2	2	1	2	1987	28	2	2	1			1	1	60000	2	1	2		5	11	2	73	11	6	73
3748068131	3748068	1	3	1	10	2	1	1	7	2009	5	3		1			1	5		2	1	1	1	3	0		73	0	6	73
3748069111	3748069	1	1	1	10	1	1	1	12	1949	65	1	4	1			3			2	1	2		3	2		73	2	6	73
3748070111	3748070	1	1	1	10	1	2	1	9	1947	67	1	4	2	1	72				2	1	2		3	3		73	3	6	73
3748071111	3748071	1	1	1	10	1	2	1	12	1993	21	1	1	1			3			2	1	1	1	6	3	2	73	14	6	73
3748071121	3748071	1	2	1	10	2	2	1	5	1990	25	9	4	2	1	1				2	1	2		3	3		73	3	6	73
3748071131	3748071	1	3	1	10	2	1	1	3	2006	9	9		2	1	1				2	1	2		3	1		73	1	6	73
3748071141	3748071	1	4	1	10	2	1	1	4	2009	6	9		2	1	1				2	2	2		1	0		73	0	6	73
3748072111	3748072	1	1	1	10	1	2	1	4	1965	50	1	4	1			3			2	1	2		3	5		50	5	6	50
3748072121	3748072	1	2	1	10	2	2	1	2	1988	27	3	6	1			3			2	1	1	2	6	0	2	50	11	6	50
3748072131	3748072	1	3	1	10	2	2	1	1	2010	5	4		1			3			2	1	1	2	2	0		50	0	6	50
3748072141	3748072	1	4	1	10	1	2	1	1	2007	8	3		1			3			2	1	1	2	3	2		50	2	6	50
3748073111	3748073	1	1	1	10	1	2	1	9	1940	74	1	6	1			1	2	120000	2	1	2		3	1		50	1	6	50
3748073121	3748073	1	2	1	10	2	2	1	1	1974	41	3	6	1			1	1	40000	2	1	2		6	5	4	50	16	6	50
3748073131	3748073	1	3	1	10	2	1	1	1	2005	10	4	6	1			1	5		2	1	1	2	3	4		50	4	6	50
3748073141	3748073	1	4	1	10	4	1	1	4	1977	38	3	6	1			1	3	80000	2	1	2		6	5	4	50	16	6	50
3748074111	3748074	1	1	1	10	1	2	1	2	1951	64	1	4	1			1	2	300000	2	1	2		5	11	2	50	11	6	50
3748074121	3748074	1	2	1	10	1	2	1	5	1982	33	3	4	1			3			2	1	2		5	11	2	50	11	6	50
3748074131	3748074	1	3	1	10	1	1	1	4	2005	10	4	6	1			3			2	1	1	1	3	3		50	3	6	50
3748074141	3748074	1	4	1	10	4	2	1	5	1956	59	5	4	1			3			2	1	2		4	9		50	9	6	50
3748075111	3748075	1	1	1	10	1	2	1	2	1958	57	1	5	1			3			2	1	2		3	5		50	5	6	50
3748076111	3748076	1	1	1	10	2	1	1	7	1956	58	1	3	1			2	2	98	2	1	2		5	11	2	50	11	6	50
3748076121	3748076	1	2	1	10	2	2	1	8	1955	59	2	3	1			2	5		2	1	2		3	5		50	5	6	50
3748076131	3748076	1	3	1	10	3	2	1	11	1923	91	5	5	1			3			2	1	2		3	5		50	5	6	50
3748077111	3748077	1	1	1	10	1	1	1	5	1982	33	1	3	1			1	3	150000	2	1	2		6	6	5	50	17	6	50
3748077121	3748077	1	2	1	10	2	2	1	2	1987	28	2	3	1			1	3	100000	2	1	2		6	6	5	50	17	6	50
3748077131	3748077	1	3	1	10	1	2	1	9	2012	2	3		1			1	5		2							50		6	50
3748078111	3748078	1	1	1	10	1	1	1	12	1964	50	1	3	1			3			2	1	2		4	7		50	7	6	50
3748078121	3748078	1	2	1	10	2	2	1	10	1964	50	2	3	1			3			2	1	2		4	6		50	6	6	50
3748079111	3748079	1	1	1	10	2	1	1	6	1968	47	1	2	1			1	1	25775	2	1	2		3	5		50	5	6	50
3748079121	3748079	1	2	1	10	2	2	1	5	1969	46	2	2	1			1	5		2	1	2		5	11	2	50	11	6	50
3748079131	3748079	1	3	1	10	2	2	1	8	2007	7	3		1			1	5		2	1	1	1	3	2		50	2	6	50
3748080111	3748080	1	1	1	10	1	1	1	4	1962	53	1	2	1			3			2	1	2		5	11	2	66	11	6	66
3748080121	3748080	1	2	1	10	2	2	1	5	1972	43	2	2	1			3			2	1	2		4	6		66	6	6	66
3748080131	3748080	1	3	1	10	2	2	1	10	2003	11	3	6	1			3			2	1	1	1	4	0		66	5	6	66
3748081111	3748081	1	1	1	10	1	1	1	5	1965	50	1	4	1			3			2	1	2		3	5		66	5	6	66
3748081121	3748081	1	2	1	10	2	2	1	3	1998	17	3	6	1			3			2	1	1	1	4	7		66	7	6	66
3748081131	3748081	1	3	1	10	1	1	1	12	2000	14	3	6	1			3			2	1	1	1	4	6		66	6	6	66
3748082111	3748082	1	1	1	10	1	1	1	2	1975	40	1	3	1			3			2	1	2		4	8		66	8	6	66
3748082121	3748082	1	2	1	10	2	2	1	12	1978	36	2	3	1			3			2	1	2		5	11	2	66	11	6	66
3748082131	3748082	1	3	1	10	2	2	1	11	1998	16	3	6	1			3			2	1	1	1	5	10	1	66	10	6	66
3748082141	3748082	1	4	1	10	2	2	1	8	2000	14	3	6	1			3			2	1	1	1	4	8		66	8	6	66
3748082151	3748082	1	5	1	10	2	2	1	2	2002	13	3	6	1			3			2	1	1	1	4	7		66	7	6	66
3748083111	3748083	1	1	1	10	1	2	1	8	1982	32	1	4	1			1	5		2	1	2		6	2	3	66	13	6	66
3748083121	3748083	1	2	1	10	1	2	1	6	2002	13	3	6	1			1	5		2	1	1	1	4	6		66	6	6	66
3748083131	3748083	1	3	1	10	1	2	1	3	2005	10	3	6	1			1	5		2	1	1	1	3	3		66	3	6	66
