idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	P6016	P6020	P6030	P6030s1	P6030s3	P6040	P6050	P6070	P6090	P6140	P6150	P6100	P6110	P6120	P6125	P6160	P6170	P6175	P6210	P6210s1	P6220	Area	Esc	Mes	Dpto
3748871131	3748871	1	3	1	10	3	1	1	7	1981	33	3	6	1			1	1	98	2	1	2		5	11	2	52	11	6	52
3748872111	3748872	1	1	1	10	1	2	1	9	1978	36	1	6	1			1	3	80500	2	1	2		5	11	2	52	11	6	52
3748872121	3748872	1	2	1	10	1	2	1	1	2003	12	3	6	1			2	5		2	1	1	2	4	6		52	6	6	52
3748873111	3748873	1	1	1	10	1	1	1	2	1967	48	1	2	1			3			2	1	2		5	11	2	52	11	6	52
3748873121	3748873	1	2	1	10	2	2	1	2	1969	46	2	2	1			3			2	1	2		3	2		52	2	6	52
3748873131	3748873	1	3	1	10	3	1	1	11	1993	21	3	6	1			3			2	1	1	1	4	9		52	9	6	52
3748873141	3748873	1	4	1	10	4	1	1	11	2001	13	3	6	1			3			2	1	1	1	4	0		52	5	6	52
3748874111	3748874	1	1	1	10	1	2	1	8	1976	38	1	4	2	1	1				2	1	2		6	2	3	52	13	6	52
3748875111	3748875	1	1	1	10	1	2	1	9	1959	55	1	2	2	1	6				1	1	2		3	1		52	1	6	52
3748875121	3748875	1	2	1	10	2	2	1	9	1996	18	3	6	1			3			2	1	1	1	6	0	2	52	11	6	52
3748876111	3748876	1	1	1	10	1	2	1	3	1980	35	1	6	1			3			2	1	2		5	11	2	52	11	6	52
3748877111	3748877	1	1	1	10	1	2	1	1	1983	32	1	3	1			1	5		2	1	1	1	4	6		52	6	6	52
3748877121	3748877	1	2	1	10	1	1	1	6	2001	13	3	6	1			1	5		2	1	1	1	4	0		52	5	6	52
3748877131	3748877	1	3	1	10	1	1	1	5	2004	11	3	6	1			1	5		2	1	1	1	3	3		52	3	6	52
3748878111	3748878	1	1	1	10	1	1	1	2	1968	47	1	6	1			3			2	2	2		1	0		52	0	6	52
3748879111	3748879	1	1	1	10	1	2	1	10	1967	47	1	4	1			3			2	1	2		3	3		52	3	6	52
3748879121	3748879	1	2	1	10	1	2	1	3	2001	14	3	6	1			3			1	1	1	1	4	0		52	5	6	52
3748880111	3748880	1	1	1	10	1	1	1	1	1952	63	1	3	1			1	2	85000	2	1	2		5	11	2	52	11	6	52
3748880121	3748880	1	2	1	10	2	2	1	6	1957	58	2	3	1			1	5		2	1	2		5	11	2	52	11	6	52
3748881111	3748881	1	1	1	10	1	2	1	9	1963	51	1	6	1			1	5		2	1	2		3	3		52	3	6	52
3748881121	3748881	1	2	1	10	2	1	1	3	1986	29	3	6	1			1	1	30000	2	1	2		6	5	4	52	16	6	52
3748882111	3748882	1	1	1	10	1	2	1	1	1964	51	1	5	1			1	2	38000	2	1	2		5	11	2	52	11	6	52
3748882121	3748882	1	2	1	10	2	2	1	11	1991	23	3	6	1			1	2	12000	2	1	1	2	6	3	2	52	14	6	52
3748882131	3748882	1	3	1	10	2	1	1	10	2014	0	4		1			1	5		2							52		6	52
3748883111	3748883	1	1	1	10	1	1	1	7	1974	40	1	3	1			1	1	98	2	1	2		6	2	3	52	13	6	52
3748883121	3748883	1	2	1	10	2	2	1	7	1984	30	2	3	1			1	1	98	1	1	2		5	11	2	52	11	6	52
3748883131	3748883	1	3	1	10	3	2	1	4	1998	17	3	6	1			3			2	1	1	2	5	10	1	52	10	6	52
3748883141	3748883	1	4	1	10	1	2	1	1	2004	11	3	6	1			1	5		2	1	1	2	3	3		52	3	6	52
3748884111	3748884	1	1	1	10	1	2	1	5	1992	23	1	6	1			2	5		2	1	2		6	5	4	52	16	6	52
3748885111	3748885	1	1	1	10	1	1	1	2	1966	49	1	5	1			1	2	53000	2	1	2		5	11	2	52	11	6	52
3748886111	3748886	1	1	1	10	1	1	1	6	1965	50	1	3	1			1	5		2	1	2		4	8		52	8	6	52
3748886121	3748886	1	2	1	10	2	2	1	3	1969	46	2	3	1			1	3	120000	2	1	2		4	8		52	8	6	52
3748886131	3748886	1	3	1	10	3	2	1	3	1993	22	3	6	1			1	5		2	1	1	2	6	2	2	52	13	6	52
3748886141	3748886	1	4	1	10	2	1	1	10	1997	17	3	6	1			1	5		2	1	1	2	5	10	1	52	10	6	52
3748887111	3748887	1	1	1	10	1	1	1	8	1942	72	1	3	1			1	5		2	1	2		3	3		52	3	6	52
3748887121	3748887	1	2	1	10	2	2	1	10	1954	60	2	3	1			1	5		2	1	2		6	4	2	52	15	6	52
3748887131	3748887	1	3	1	10	3	1	1	11	1977	37	3	6	1			1	1	98	2	1	2		6	6	5	52	17	6	52
3748888111	3748888	1	1	1	10	1	1	1	5	1948	67	1	2	1			1	5		2	1	2		4	7		52	7	6	52
3748888121	3748888	1	2	1	10	2	2	1	10	1979	35	2	2	1			1	1	80000	2	1	2		6	5	4	52	16	6	52
3748889111	3748889	1	1	1	10	1	1	1	12	1942	72	1	3	1			3			2	1	2		3	4		52	4	6	52
3748889121	3748889	1	2	1	10	2	2	1	5	1942	73	2	3	1			3			2	1	2		3	1		52	1	6	52
3748889131	3748889	1	3	1	10	3	1	1	6	1976	39	3	6	1			3			2	1	2		5	11	2	52	11	6	52
3748889141	3748889	1	4	1	10	4	2	1	11	1968	46	3	4	1			1	5		2	1	2		4	9		52	9	6	52
3748889151	3748889	1	5	1	10	4	1	1	4	2004	11	4	6	1			1	5		2	1	1	1	3	4		52	4	6	52
3748889161	3748889	1	6	1	10	6	2	1	9	1974	40	3	3	1			3			1	1	2		3	5		52	5	6	52
3748889171	3748889	1	7	1	10	7	1	1	9	1960	54	5	3	2	1	60				2	1	2		3	5		52	5	6	52
3748889181	3748889	1	8	1	10	8	1	1	5	2000	15	4	6	1			3			2	1	1	2	4	0		52	5	6	52
3748889191	3748889	1	9	1	10	6	1	1	11	2003	11	4	6	1			3			2	1	1	2	3	4		52	4	6	52
37488891101	3748889	1	10	1	10	10	2	1	2	1979	36	3	5	1			3			2	1	2		4	7		52	7	6	52
37488891111	3748889	1	11	1	10	11	1	1	9	1996	18	4	6	1			3			2	1	1	2	6	0	2	52	11	6	52
37488891121	3748889	1	12	1	10	10	1	1	11	2001	13	4	6	1			3			2	1	1	2	3	4		52	4	6	52
37488891131	3748889	1	13	1	10	10	1	1	8	2003	11	4	6	1			3			2	1	1	2	3	3		52	3	6	52
3748890111	3748890	1	1	1	10	1	1	1	6	1988	26	1	2	1			1	1	35000	2	1	2		5	11	2	52	11	6	52
3748890121	3748890	1	2	1	10	2	2	1	10	1975	39	2	2	1			3			2	1	2		6	2	3	52	13	6	52
3748890131	3748890	1	3	1	10	3	1	1	10	1996	18	3	6	1			3			1	1	2		5	10	1	52	10	6	52
3748890141	3748890	1	4	1	10	2	2	1	9	2002	12	3	6	1			3			1	1	1	1	4	6		52	6	6	52
3748894111	3748894	1	1	1	10	1	2	1	8	1949	65	1	5	2	1	10				1	1	2		3	3		52	3	6	52
3748894121	3748894	1	2	1	10	2	1	1	9	1969	45	3	6	1			3			2	1	2		3	5		52	5	6	52
3748894131	3748894	1	3	1	10	3	1	1	8	1973	41	3	6	1			1	1	98	2	1	2		5	11	2	52	11	6	52
3748894141	3748894	1	4	1	10	4	1	1	7	1968	46	3	4	1			3			2	1	1	2	4	6		52	6	6	52
3748894151	3748894	1	5	1	10	5	1	1	6	1998	16	4	6	1			3			2	1	2		4	7		52	7	6	52
3748895111	3748895	1	1	1	10	1	1	1	5	1983	32	1	3	1			2	1	34000	2	1	2		5	11	2	52	11	6	52
3748895121	3748895	1	2	1	10	2	2	1	2	1983	32	2	3	1			2	5		2	1	2		6	5	4	52	16	6	52
3748895131	3748895	1	3	1	10	2	2	1	2	2009	6	3		1			2	5		2	1	1	1	3	0		52	0	6	52
3748895141	3748895	1	4	1	10	4	1	1	10	1987	27	5	6	1			3			2	1	2		5	11	2	52	11	6	52
3748895151	3748895	1	5	1	10	4	2	1	7	2008	6	5		1			3			2	1	1	1	3	0		52	0	6	52
3748896111	3748896	1	1	1	10	1	1	1	6	1971	43	1	3	1			1	3	90000	2	1	2		6	5	4	52	16	6	52
3748896121	3748896	1	2	1	10	1	2	1	4	1979	36	2	3	1			1	5		2	1	2		6	6	4	52	17	6	52
3748896131	3748896	1	3	1	10	1	1	1	4	2004	11	3	6	1			1	5		2	1	1	2	4	0		52	5	6	52
3748896141	3748896	1	4	1	10	1	2	1	6	2008	7	3		1			1	5		2	1	1	2	3	0		52	0	6	52
3748899111	3748899	1	1	1	10	1	2	1	3	1960	55	1	4	1			3			1	1	2		3	3		52	3	6	52
3748899121	3748899	1	2	1	10	2	1	1	5	1991	24	3	6	1			3			2	1	1	1	4	9		52	9	6	52
3748900111	3748900	1	1	1	10	1	2	1	2	1964	51	1	6	1			1	5		2	1	2		3	1		52	1	6	52
3748901111	3748901	1	1	1	10	1	1	1	10	1944	70	1	3	1			1	2	98	2	1	2		6	7	5	52	18	6	52
3748901121	3748901	1	2	1	10	1	2	1	7	1944	70	2	3	1			1	5		2	1	2		5	11	2	52	11	6	52
3748901131	3748901	1	3	1	10	3	2	1	11	1968	46	3	6	2	2					1	1	2		6	5	2	52	16	6	52
3748901141	3748901	1	4	1	10	1	1	2			42	3	4	1			1	3	98	2	1	2		6	7	5	52	18	6	52
3748901151	3748901	1	5	1	10	5	2	1	4	1999	16	4	6	1			1	5		2	1	1	2	4	9		52	9	6	52
3748903111	3748903	1	1	1	10	1	2	1	7	1962	52	1	4	1			3			2	1	2		3	1		52	1	6	52
3748903121	3748903	1	2	1	10	2	1	1	4	1986	29	3	6	1			3			2	1	2		5	11	2	52	11	6	52
3748903131	3748903	1	3	1	10	1	1	1	10	2006	8	3		1			3			2	1	1	1	3	2		52	2	6	52
3748903141	3748903	1	4	1	10	1	1	1	9	1975	39	5	6	1			1	1	25800	2	1	2		3	4		52	4	6	52
3748904111	3748904	1	1	1	10	1	2	1	4	1955	60	1	4	1			1	2	98	2	1	2		3	5		52	5	6	52
3748904121	3748904	1	2	1	10	1	2	1	11	1983	31	3	6	1			1	5		1	2	2		3	5		52	5	6	52
3748904131	3748904	1	3	1	10	1	1	1	3	1985	30	3	6	2	1	6				1	1	2		6	5	4	52	16	6	52
3748904141	3748904	1	4	1	10	4	1	1	9	1986	28	3	6	1			1	1	55000	2	1	2		5	11	2	52	11	6	52
3748905111	3748905	1	1	1	10	1	1	1	5	1978	37	1	3	1			2	1	40000	2	1	2		6	2	3	52	13	6	52
3748905121	3748905	1	2	1	10	2	2	1	3	1983	32	2	3	1			2	5		2	1	2		6	3	3	52	14	6	52
3748905131	3748905	1	3	1	10	2	1	1	4	2013	2	3		1			2	5		2							52		6	52
3748906111	3748906	1	1	1	10	1	1	1	8	1936	78	1	3	1			1	2	98	2	1	2		3	5		52	5	6	52
3748906121	3748906	1	2	1	10	2	2	1	2	1935	80	2	3	1			1	5		2	1	2		3	3		52	3	6	52
3748907111	3748907	1	1	1	10	1	2	1	10	1975	39	1	2	1			1	5		2	1	2		5	11	2	52	11	6	52
3748907121	3748907	1	2	1	10	1	1	1	11	2007	7	3		1			1	5		2	2	1	1	3	1		52	1	6	52
3748907131	3748907	1	3	1	10	1	2	1	2	2012	3	3		1			1	5		2	2	2		1	0		52	0	6	52
3748908111	3748908	1	1	1	10	1	2	1	11	1966	48	1	4	2	1	5				1	1	2		5	11	2	52	11	6	52
3748908121	3748908	1	2	1	10	2	2	1	11	1986	28	3	6	1			1	1	46000	2	1	2		6	3	3	52	14	6	52
3748908131	3748908	1	3	1	10	3	2	1	3	1993	22	3	6	1			2	1	98	2	1	2		6	4	3	52	15	6	52
3748908141	3748908	1	4	1	10	4	2	1	7	1984	30	3	6	1			1	1	42000	2	1	2		6	2	3	52	13	6	52
3748908151	3748908	1	5	1	10	4	1	1	10	2005	9	4		1			2	5		2	1	1	2	3	3		52	3	6	52
3748909111	3748909	1	1	1	10	1	1	1	9	1982	32	1	4	2	1	6				2	1	2		5	11	2	52	11	6	52
3748910111	3748910	1	1	1	10	1	2	1	1	1959	56	1	3	1			2	1	98	2	1	2		6	9	5	52	20	6	52
3748910121	3748910	1	2	1	10	2	1	1	4	1958	57	2	3	1			2	5		2	1	2		5	11	2	52	11	6	52
3748910131	3748910	1	3	1	10	3	1	1	7	1991	23	3	6	1			2	5		2	1	1	1	6	4	2	52	15	6	52
3748912111	3748912	1	1	1	10	1	1	1	9	1973	41	1	6	1			1	1	90000	2	1	1	2	6	13	4	52	24	6	52
3748912121	3748912	1	2	1	10	2	2	1	4	1995	20	5	6	1			1	5		2	1	1	1	6	0	2	52	11	6	52
3748913111	3748913	1	1	1	10	1	2	1	9	1954	60	1	4	1			3			2	1	2		3	2		52	2	6	52
3748913121	3748913	1	2	1	10	2	2	1	2	1994	21	3	6	1			3			2	1	2		6	1	3	52	12	6	52
3748913131	3748913	1	3	1	10	3	2	1	4	1998	17	4	6	1			3			2	1	1	1	4	9		52	9	6	52
3748913141	3748913	1	4	1	10	4	2	1	5	2000	15	4	6	1			3			2	1	1	1	4	7		52	7	6	52
3748913151	3748913	1	5	1	10	5	1	1	9	1985	29	3	2	1			3			2	1	2		6	2	3	52	13	6	52
3748913161	3748913	1	6	1	10	6	2	1	12	1987	27	5	2	1			3			2	1	1	1	6	0	2	52	11	6	52
3748913171	3748913	1	7	1	10	5	2	1	11	2009	5	4		1			3			2	2	1	1	2	0		52	0	6	52
3748914111	3748914	1	1	1	10	1	1	1	12	1942	72	1	2	1			1	2	86000	2	1	2		3	5		52	5	6	52
3748914121	3748914	1	2	1	10	2	2	1	7	1941	73	2	2	1			1	5		2	1	2		3	5		52	5	6	52
3748915111	3748915	1	1	1	10	1	2	1	8	1938	76	1	5	1			1	5		2	1	2		3	5		52	5	6	52
3748915121	3748915	1	2	1	10	2	1	1	1	1968	47	3	6	1			3			2	1	2		3	5		52	5	6	52
3748915131	3748915	1	3	1	10	3	2	1	2	1962	53	3	6	1			3			2	1	2		4	6		52	6	6	52
3748915141	3748915	1	4	1	10	4	2	1	9	1986	28	4	6	1			3			2	1	2		6	5	4	52	16	6	52
3748916111	3748916	1	1	1	10	1	1	1	12	1964	50	1	4	2	1	5				2	1	2		3	5		52	5	6	52
3748917111	3748917	1	1	1	10	1	1	1	7	1974	40	1	2	1			3			2	1	2		5	11	2	52	11	6	52
3748917121	3748917	1	2	1	10	2	2	1	10	1980	34	2	2	1			3			2	1	2		5	11	2	52	11	6	52
3748917131	3748917	1	3	1	10	2	1	1	12	1999	15	3	6	1			3			2	1	1	1	4	9		52	9	6	52
3748917141	3748917	1	4	1	10	2	1	1	3	2013	2	3		1			3			2							52		6	52
3748918111	3748918	1	1	1	10	1	1	1	1	1934	81	1	3	1			1	5		2	1	2		3	4		52	4	6	52
3748918121	3748918	1	2	1	10	2	2	1	5	1942	73	2	3	1			1	3	98	2	1	2		3	3		52	3	6	52
3748918131	3748918	1	3	1	10	3	1	1	2	1967	48	3	4	2	1	120				2	1	2		5	11	2	52	11	6	52
3748918141	3748918	1	4	1	10	4	2	1	6	1962	52	3	6	1			3			2	1	2		5	11	2	52	11	6	52
3748918151	3748918	1	5	1	10	5	1	1	3	1993	22	4	6	1			3			2	1	2		5	11	2	52	11	6	52
3748919111	3748919	1	1	1	10	1	2	1	10	1986	28	1	2	1			3			2	1	2		4	9		52	9	6	52
3748919121	3748919	1	2	1	10	2	1	1	8	1993	21	2	2	2	1	18				1	1	2		4	8		52	8	6	52
3748919131	3748919	1	3	1	10	1	1	1	10	2012	2	3		1			3			2							52		6	52
3748920111	3748920	1	1	1	10	1	1	1	8	1972	42	1	4	1			3			2	1	2		5	11	2	52	11	6	52
3748920121	3748920	1	2	1	10	1	1	1	10	2009	5	3		1			3			2	2	1	1	2	0		52	0	6	52
3748920131	3748920	1	3	1	10	3	2	1	3	1996	19	3	6	1			3			2	1	2		5	11	2	52	11	6	52
3748920141	3748920	1	4	1	10	3	1	1	5	2014	1	4		1			3			2							52		6	52
3748920151	3748920	1	5	1	10	3	1	1	5	2014	1	4		1			3			2							52		6	52
3748923111	3748923	1	1	1	10	1	1	1	11	1982	32	1	2	2	1	180				2	1	2		4	6		52	6	6	52
3748923121	3748923	1	2	1	10	2	2	1	9	1983	31	2	2	1			3			2	1	2		5	11	2	52	11	6	52
3748923131	3748923	1	3	1	10	2	2	1	12	2005	9	3		1			3			2	1	1	1	3	3		52	3	6	52
3748924111	3748924	1	1	1	10	1	1	1	8	1982	32	1	3	1			1	1	98	2	1	2		6	2	3	52	13	6	52
3748924121	3748924	1	2	1	10	2	2	1	7	1986	28	2	3	1			1	5		2	1	2		6	3	3	52	14	6	52
3748924131	3748924	1	3	1	10	2	1	1	8	2008	6	3		1			1	5		2	1	1	2	3	0		52	0	6	52
3748925111	3748925	1	1	1	10	2	1	1	9	1967	47	1	3	1			1	1	98	2	1	2		6	5	4	52	16	6	52
3748925121	3748925	1	2	1	10	2	2	1	3	1970	45	2	3	1			1	5		2	1	2		6	5	4	52	16	6	52
3748925131	3748925	1	3	1	10	3	2	1	12	1999	15	3	6	1			1	5		2	1	1	1	4	8		52	8	6	52
3748925141	3748925	1	4	1	10	2	2	1	6	2006	8	3		1			1	5		2	1	2		3	2		52	2	6	52
3748926111	3748926	1	1	1	10	1	1	1	10	1978	36	1	2	1			3			2	1	2		5	11	2	52	11	6	52
3748926121	3748926	1	2	1	10	2	2	1	4	1977	38	2	2	1			3			2	1	2		3	5		52	5	6	52
3748926131	3748926	1	3	1	10	2	1	1	11	2003	11	3	6	1			3			2	1	1	1	4	0		52	5	6	52
3748926141	3748926	1	4	1	10	2	1	1	1	2008	7	3		1			3			2	2	1	1	2	0		52	0	6	52
3748926151	3748926	1	5	1	10	2	1	1	1	2008	7	3		1			3			2	2	1	1	3	1		52	1	6	52
3748926161	3748926	1	6	1	10	6	1	1	5	1996	19	3	2	1			3			2	1	2		4	9		52	9	6	52
3748926171	3748926	1	7	1	10	7	2	1	6	1998	16	5	2	1			3			2	1	2		4	7		52	7	6	52
3748927111	3748927	1	1	1	10	1	1	1	10	1953	61	1	2	1			3			2	1	2		3	3		52	3	6	52
3748927121	3748927	1	2	1	10	2	2	1	11	1952	62	2	2	1			3			2	1	2		3	1		52	1	6	52
3748927131	3748927	1	3	1	10	2	2	1	7	1980	34	3	6	1			3			2	1	2		5	11	2	52	11	6	52
3748928111	3748928	1	1	1	10	1	2	1	9	1968	46	1	5	1			1	1	98	1	1	2		5	11	2	52	11	6	52
3748928121	3748928	1	2	1	10	2	1	1	12	1993	21	3	6	1			3			2	1	2		5	11	2	52	11	6	52
3748928131	3748928	1	3	1	10	2	1	1	10	2003	11	3	6	1			3			2	1	1	1	4	0		52	5	6	52
3748929111	3748929	1	1	1	10	1	2	1	2	1966	49	1	6	1			3			2	1	2		4	6		52	6	6	52
3748929121	3748929	1	2	1	10	1	2	1	2	1993	22	3	6	1			3			2	1	1	1	6	1	2	52	12	6	52
3748929131	3748929	1	3	1	10	1	2	1	9	2012	2	4		1			3			2							52		6	52
3748930111	3748930	1	1	1	10	1	2	1	10	1985	29	1	2	1			3			2	1	2		3	5		52	5	6	52
3748930121	3748930	1	2	1	10	2	1	1	3	1987	28	2	2	1			1	9		2	1	2		3	5		52	5	6	52
3748930131	3748930	1	3	1	10	1	1	1	6	2008	6	3		1			3			2	1	1	1	3	1		52	1	6	52
3748931111	3748931	1	1	1	10	1	1	1	9	1984	30	1	3	1			3			2	1	1	2	6	2	2	52	13	6	52
3748931121	3748931	1	2	1	10	2	2	1	3	1990	25	2	3	1			3			2	1	1	1	4	9		52	9	6	52
3748931131	3748931	1	3	1	10	1	2	1	2	2009	6	3		1			3			2	1	1	1	3	0		52	0	6	52
3748931141	3748931	1	4	1	10	1	2	1	4	2014	1	3		1			3			2							52		6	52
3748932111	3748932	1	1	1	10	1	1	1	6	1977	37	1	6	1			3			2	1	2		4	6		52	6	6	52
3748933111	3748933	1	1	1	10	1	2	1	10	1979	35	1	6	1			1	3	86900	2	1	2		6	5	4	52	16	6	52
3748934111	3748934	1	1	1	10	1	1	1	4	1974	41	1	6	1			1	1	31000	2	1	2		5	11	2	52	11	6	52
3748935111	3748935	1	1	1	10	1	2	1	6	1976	39	1	6	1			3			1	1	2		3	3		52	3	6	52
3748935121	3748935	1	2	1	10	1	2	1	5	2003	12	3	6	1			3			1	1	1	2	4	0		52	5	6	52
3748935212	3748935	2	1	2	10	1	1	1	5	1980	35	1	6	1			3			2	1	2		3	4		52	4	6	52
3748937111	3748937	1	1	1	10	1	1	1	4	1980	35	1	3	1			1	1	15000	2	1	2		3	3		52	3	6	52
3748937121	3748937	1	2	1	10	2	2	1	4	1984	31	2	3	1			3			2	1	2		3	4		52	4	6	52
3748937131	3748937	1	3	1	10	2	1	1	1	2009	6	3		1			3			2	1	1	1	3	0		52	0	6	52
3748937141	3748937	1	4	1	10	2	1	1	10	2013	1	3		1			3			2							52		6	52
3748938111	3748938	1	1	1	10	1	1	1	12	1984	30	1	2	1			3			2	1	2		3	5		52	5	6	52
3748938121	3748938	1	2	1	10	2	2	1	3	1977	38	2	2	1			3			2	1	2		3	2		52	2	6	52
3748938131	3748938	1	3	1	10	3	1	1	12	1998	16	3	6	1			3			2	1	1	1	4	0		52	5	6	52
3748938141	3748938	1	4	1	10	2	1	1	4	2003	12	3	6	1			3			2	1	1	1	3	4		52	4	6	52
3748939111	3748939	1	1	1	10	1	2	1	2	1974	41	1	4	1			1	1	98	2	1	2		6	5	4	52	16	6	52
3748939121	3748939	1	2	1	10	2	2	1	11	1995	19	3	6	1			1	5		2	1	1	2	6	3	2	52	14	6	52
3748939131	3748939	1	3	1	10	1	1	1	7	1997	17	3	6	1			1	5		2	1	1	1	6	1	2	52	12	6	52
3748940111	3748940	1	1	1	10	1	1	1	1	1977	38	1	3	1			1	3	80000	2	1	2		6	6	5	52	17	6	52
3748940121	3748940	1	2	1	10	2	2	1	12	1973	41	2	3	1			1	1	98	2	1	2		6	5	4	52	16	6	52
3748940131	3748940	1	3	1	10	2	1	1	2	2005	10	3	6	1			1	5		2	1	1	2	3	4		52	4	6	52
3748940141	3748940	1	4	1	10	2	2	1	1	2013	2	3		1			1	5		2							52		6	52
3748943111	3748943	1	1	1	10	1	1	1	6	1944	71	1	5	1			3			2	2	2		1	0		52	0	6	52
3748944111	3748944	1	1	1	10	1	2	1	3	1944	71	1	5	1			1	2	65000	2	1	2		4	9		52	9	6	52
3748944121	3748944	1	2	1	10	2	2	1	8	1964	50	3	6	1			1	1	98	2	1	2		6	2	3	52	13	6	52
3748944131	3748944	1	3	1	10	3	2	1	6	1972	42	3	6	1			1	1	74000	2	1	2		6	4	3	52	15	6	52
3748944141	3748944	1	4	1	10	3	1	1	12	2011	3	4		1			3			2	2	2		1	0		52	0	6	52
3748944151	3748944	1	5	1	10	5	2	1	2	1974	41	3	6	1			1	1	98	2	1	2		6	3	3	52	14	6	52
3748944161	3748944	1	6	1	10	5	2	1	6	2001	14	4	6	1			1	5		2	1	1	1	4	7		52	7	6	52
3748945111	3748945	1	1	1	10	1	1	1	11	1971	43	1	3	1			1	1	80000	2	1	2		6	3	3	52	14	6	52
3748945121	3748945	1	2	1	10	2	2	1	12	1971	43	2	3	1			1	3	80500	2	1	2		5	11	2	52	11	6	52
3748945131	3748945	1	3	1	10	2	2	1	7	1999	15	3	6	1			1	5		2	1	1	2	4	9		52	9	6	52
3748946111	3748946	1	1	1	10	1	1	1	8	1987	27	1	6	1			1	1	25800	2	1	1	2	6	5	2	52	16	6	52
3748947111	3748947	1	1	1	10	1	1	1	3	1977	38	1	4	1			2	1	98	2	1	2		6	8	5	52	19	6	52
3748949111	3748949	1	1	1	10	1	2	1	10	1977	37	1	6	1			1	3	80544	2	1	2		6	2	3	52	13	6	52
3748949121	3748949	1	2	1	10	1	2	1	2	2008	7	3		1			1	5		2	1	1	1	3	1		52	1	6	52
3748950111	3748950	1	1	1	10	1	1	1	6	1948	67	1	3	1			1	3	81000	2	2	2		1	0		50	0	6	50
3748950121	3748950	1	2	1	10	2	2	1	7	1958	56	2	3	1			1	5		2	1	2		3	3		50	3	6	50
3748950131	3748950	1	3	1	10	2	1	1	5	1981	34	3	6	1			1	5		2	2	2		1	0		50	0	6	50
3748950141	3748950	1	4	1	10	2	2	1	9	1935	79	5	5	1			3			2	2	2		1	0		50	0	6	50
3748950151	3748950	1	5	1	10	5	2	1	9	1956	58	9	4	2	1	5				2	1	2		3	2		50	2	6	50
3748951111	3748951	1	1	1	10	1	2	1	5	1986	29	1	2	1			3			2	1	2		3	5		50	5	6	50
3748951121	3748951	1	2	1	10	1	2	1	3	2001	14	3	6	1			3			2	1	1	2	4	7		50	7	6	50
3748951131	3748951	1	3	1	10	1	1	1	10	2009	5	3		1			3			2	2	1	1	2	0		50	0	6	50
3748952111	3748952	1	1	1	10	1	1	1	3	1969	46	1	3	1			1	1	81000	2	1	2		5	11	2	50	11	6	50
3748952121	3748952	1	2	1	10	2	2	1	1	1968	47	2	3	1			1	5		2	1	2		5	11	2	50	11	6	50
3748952131	3748952	1	3	1	10	3	2	1	9	1993	21	3	6	1			1	5		2	1	1	1	6	4	2	50	15	6	50
3748952141	3748952	1	4	1	10	2	1	1	9	1998	16	3	6	1			1	5		2	1	1	1	5	10	1	50	10	6	50
3748952151	3748952	1	5	1	10	2	1	1	12	2004	10	3	6	1			1	5		2	1	1	1	3	4		50	4	6	50
3748952161	3748952	1	6	1	10	6	1	1	7	1967	47	9	4	1			1	3	81000	2	1	2		4	7		50	7	6	50
3748953111	3748953	1	1	1	10	2	1	1	5	1979	36	1	3	1			1	3	81000	2	1	2		5	11	2	50	11	6	50
3748953121	3748953	1	2	1	10	2	2	1	1	1988	27	2	3	1			1	1	24500	2	1	2		5	11	2	50	11	6	50
3748953131	3748953	1	3	1	10	2	2	1	5	2003	12	3	6	1			1	5		2	1	1	1	4	6		50	6	6	50
3748953141	3748953	1	4	1	10	2	2	1	12	2008	6	3		1			1	5		2	2	1	1	3	0		50	0	6	50
3748953151	3748953	1	5	1	10	5	2	1	10	1945	69	5	5	1			3			2	1	2		3	4		50	4	6	50
3748954111	3748954	1	1	1	10	1	2	1	1	1942	73	1	4	1			3			2	1	2		3	2		50	2	6	50
3748954121	3748954	1	2	1	10	2	1	1	4	1975	40	3	6	1			3			2	1	2		4	7		50	7	6	50
3748954131	3748954	1	3	1	10	3	1	1	1	1963	52	3	4	1			3			2	1	2		3	5		50	5	6	50
3748954141	3748954	1	4	1	10	1	1	1	3	2001	14	4	6	1			3			2	1	1	1	4	8		50	8	6	50
3748955111	3748955	1	1	1	10	1	1	1	9	1957	57	1	3	1			2	2	45000	2	1	2		3	5		50	5	6	50
3748955121	3748955	1	2	1	10	2	2	1	1	1960	55	2	3	1			2	5		2	1	2		3	5		50	5	6	50
3748955131	3748955	1	3	1	10	3	2	1	1	1981	34	3	6	2	1	3				2	1	2		5	11	2	50	11	6	50
3748955141	3748955	1	4	1	10	2	2	1	7	1999	15	4	6	2	1	3				2	1	1	1	4	9		50	9	6	50
3748956111	3748956	1	1	1	10	1	2	1	10	1938	76	1	5	1			1	5		2	1	2		3	4		50	4	6	50
3748956212	3748956	2	1	2	10	1	2	1	12	1973	41	1	6	1			1	1	24450	2	1	2		5	11	2	50	11	6	50
3748956313	3748956	3	1	3	10	1	2	1	8	1990	24	1	6	1			1	1	24500	2	1	2		5	11	2	50	11	6	50
3748956323	3748956	3	2	3	10	1	1	1	2	2014	1	3		1			1	5		2							50		6	50
3748958111	3748958	1	1	1	10	1	1	1	7	1956	58	1	3	1			1	3	81000	2	1	2		5	11	2	50	11	6	50
3748958121	3748958	1	2	1	10	2	2	1	2	1960	55	2	3	1			1	5		2	1	2		5	11	2	50	11	6	50
