Año y mes	Promedio	Fin de mes
jul-70	18,48	18,51
ago-70	18,55	18,60
sep-70	18,68	18,76
oct-70	18,82	18,87
nov-70	18,92	18,96
dic-70	19,03	19,09
ene-71	19,15	19,22
feb-71	19,28	19,33
mar-71	19,41	19,49
abr-71	19,56	19,64
may-71	19,68	19,72
jun-71	19,80	19,87
jul-71	19,97	20,06
ago-71	20,14	20,23
sep-71	20,31	20,38
oct-71	20,46	20,54
nov-71	20,63	20,71
dic-71	20,81	20,91
ene-72	20,99	21,08
feb-72	21,17	21,24
mar-72	21,33	21,42
abr-72	21,50	21,58
may-72	21,67	21,75
jun-72	21,82	21,90
jul-72	21,96	22,01
ago-72	22,09	22,16
sep-72	22,25	22,33
oct-72	22,39	22,46
nov-72	22,53	22,60
dic-72	22,70	22,79
ene-73	22,28	22,96
feb-73	23,02	23,08
mar-73	23,13	23,20
abr-73	23,25	23,29
may-73	23,36	23,42
jun-73	23,47	23,52
jul-73	23,60	23,67
ago-73	23,76	23,87
sep-73	23,79	24,07
oct-73	24,18	24,28
nov-73	24,37	24,47
dic-73	24,65	24,79
ene-74	24,95	25,10
feb-74	25,22	25,33
mar-74	25,42	25,47
abr-74	25,50	25,52
may-74	25,54	25,56
jun-74	25,58	25,61
jul-74	25,64	25,69
ago-74	25,81	26,01
sep-74	26,28	26,57
oct-74	27,01	27,30
nov-74	27,56	27,88
dic-74	28,23	28,63
ene-75	28,87	29,07
feb-75	29,24	29,47
mar-75	29,66	29,86
abr-75	30,05	30,24
may-75	30,42	30,64
jun-75	30,82	31,00
jul-75	31,18	31,36
ago-75	31,52	31,70
sep-75	31,85	32,02
oct-75	32,17	32,36
nov-75	32,51	32,68
dic-75	32,84	32,96
ene-76	33,10	33,32
feb-76	33,49	33,63
mar-76	33,79	33,95
abr-76	34,10	34,29
may-76	34,45	34,58
jun-76	34,65	34,70
jul-76	34,89	35,12
ago-76	35,20	35,22
sep-76	35,25	35,29
oct-76	35,41	35,58
nov-76	35,81	36,04
dic-76	36,20	36,32
ene-77	36,37	36,38
feb-77	36,38	36,38
mar-77	36,46	36,59
abr-77	36,54	36,50
may-77	36,50	36,50
jun-77	36,50	36,50
jul-77	36,51	36,54
ago-77	36,67	36,82
sep-77	36,97	37,14
oct-77	37,23	37,35
nov-77	37,45	37,55
dic-77	37,71	37,96
ene-78	38,03	38,08
feb-78	38,14	38,22
mar-78	38,33	38,42
abr-78	38,49	38,58
may-78	38,66	38,75
jun-78	38,81	38,87
jul-78	38,95	38,99
ago-78	39,11	39,23
sep-78	39,45	39,75
oct-78	39,98	40,20
nov-78	40,40	40,60
dic-78	40,79	41,00
ene-79	41,15	41,30
feb-79	41,44	41,58
mar-79	41,79	42,02
abr-79	42,21	42,43
may-79	42,56	42,69
jun-79	42,69	42,71
jul-79	42,74	42,76
ago-79	42,80	42,88
sep-79	42,89	43,00
oct-79	43,14	43,23
nov-79	43,38	43,53
dic-79	43,79	44,00
ene-80	44,16	44,41
feb-80	44,68	44,94
mar-80	45,32	45,62
abr-80	45,82	46,05
may-80	46,44	46,78
jun-80	47,10	47,32
jul-80	47,52	47,79
ago-80	48,02	48,24
sep-80	48,56	48,92
oct-80	49,23	49,60
nov-80	49,93	50,27
dic-80	50,56	50,92
ene-81	51,08	51,45
feb-81	51,71	51,96
mar-81	52,24	52,49
abr-81	52,71	52,94
may-81	53,24	53,57
jun-81	53,90	54,18
jul-81	54,57	54,93
ago-81	55,30	55,68
sep-81	56,03	56,39
oct-81	56,79	57,22
nov-81	57,66	58,09
dic-81	58,64	59,07
ene-82	59,50	59,84
feb-82	60,24	60,63
mar-82	60,99	61,40
abr-82	61,82	62,21
may-82	62,63	63,02
jun-82	63,52	63,84
jul-82	64,25	64,69
ago-82	65,18	65,55
sep-82	65,98	66,42
oct-82	66,99	67,68
nov-82	68,34	68,97
dic-82	69,59	70,29
ene-83	70,90	71,45
feb-83	72,06	72,81
mar-83	73,48	74,19
abr-83	74,89	75,60
may-83	76,36	77,04
jun-83	77,78	78,51
jul-83	79,22	80,00
ago-83	80,88	81,68
sep-83	82,52	83,40
oct-83	84,26	85,15
nov-83	86,11	86,94
dic-83	87,83	88,77
ene-84	89,79	90,63
feb-84	91,57	92,53
mar-84	93,46	94,47
abr-84	95,42	96,45
may-84	97,46	98,47
jun-84	99,40	100,40
jul-84	101,73	102,65
ago-84	103,73	104,81
sep-84	105,93	107,01
oct-84	108,13	109,26
nov-84	110,43	111,55
dic-84	112,76	113,89
ene-85	115,17	116,60
feb-85	118,25	120,10
mar-85	123,15	126,27
abr-85	129,62	132,58
may-85	135,95	138,70
jun-85	140,73	142,90
jul-85	145,51	147,79
ago-85	150,03	152,06
sep-85	155,30	157,90
oct-85	160,26	162,43
nov-85	164,58	166,64
dic-85	169,19	172,20
ene-86	173,70	175,00
feb-86	176,59	178,10
mar-86	179,74	181,53
abr-86	184,43	186,56
may-86	188,53	190,46
jun-86	192,35	193,76
jul-86	195,80	197,59
ago-86	199,17	200,72
sep-86	203,24	205,56
oct-86	208,05	210,30
nov-86	212,56	214,64
dic-86	216,97	219,00
ene-87	221,03	222,79
feb-87	224,82	226,73
mar-87	229,02	231,08
abr-87	233,17	235,13
may-87	237,44	239,41
jun-87	241,39	243,32
jul-87	245,55	247,56
ago-87	249,35	250,95
sep-87	252,84	254,39
oct-87	255,85	257,17
nov-87	258,74	260,30
dic-87	262,08	263,70
ene-88	265,82	267,98
feb-88	270,91	273,64
mar-88	276,92	280,09
abr-88	283,45	286,46
may-88	289,96	293,16
jun-88	296,36	299,28
jul-88	302,36	305,03
ago-88	308,40	311,44
sep-88	314,85	317,96
oct-88	321,07	323,88
nov-88	327,01	329,88
dic-88	332,97	335,86
ene-89	339,62	343,12
